city-city,dist
Dortmund-Marseille,929.1067374632067
Dortmund-Cologne,75.20391295003874
Dortmund-Helsinki,1449.9143292439321
Dortmund-Lyon,668.6991953308395
Dortmund-Düsseldorf,57.99137422918559
Dortmund-Warsaw,934.7848828241972
Dortmund-Rotterdam,209.91808773120994
Dortmund-Prague,519.6205565289815
Dortmund-Lille,321.4415834765493
Dortmund-Turin,718.2445769700787
Dortmund-Utrecht,172.74601184889966
Dortmund-Budapest,952.4675951704177
Dortmund-Toulouse,987.6074471579657
Dortmund-Bordeaux,952.4075107159646
Dortmund-Bucharest,1593.4435255378985
Dortmund-Malmö,583.0762804200181
Dortmund-Nantes,812.5957483994545
Dortmund-The Hague,227.7051444241162
Dortmund-Bremen,195.51065917377426
Dortmund-Bonn,93.70956932562359
Dortmund-Dresden,442.5729058112658
Dortmund-Bologna,833.4454926313821
Dortmund-London,525.0755323377658
Dortmund-Valencia,1471.6089619343902
Dortmund-Naples,1298.0145995657126
Dortmund-Dublin,952.8695853814469
Dortmund-Athens,1972.5445505198093
Dortmund-Barcelona,1197.504556779261
Dortmund-Gothenburg,746.9304900000842
Dortmund-Nuremburg,344.38093600541157
Dortmund-Braunschweig,226.4217924060985
Dortmund-Hanover,183.0443611008574
Dortmund-Antwerp,214.9812323688783
Dortmund-Brescia,696.3136918470427
Rome-Hamburg,1308.8636493769668
Rome-Stuttgart,806.7398941418504
Rome-Frankfurt,957.8299324890863
Rome-Stockholm,1980.1731729298174
Rome-Brussels,1173.2365012235457
Rome-Vienna,764.2094696794074
Rome-Lisbon,1866.7033208698376
Rome-Marseille,603.3934618588149
Rome-Cologne,1089.831318547415
Rome-Helsinki,2204.4886323251985
Rome-Lyon,750.5662026886802
Rome-Düsseldorf,1123.890157967704
Rome-Warsaw,1318.2845538649813
Rome-Rotterdam,1268.4705456822307
Rome-Prague,922.8173141416701
Rome-Lille,1211.2711958593395
Rome-Turin,525.1835979136633
Rome-Utrecht,1263.3175880274796
Rome-Budapest,812.6809307134923
Rome-Toulouse,922.4964087472014
Rome-Bordeaux,1108.1045687761618
Rome-Bucharest,1141.1271535612389
Rome-Malmö,1522.404713126948
Rome-Nantes,1261.7181759303112
Rome-The Hague,1290.9550330543177
Rome-Bremen,1273.3575511172478
Rome-Bonn,1064.578376895683
Rome-Dresden,1021.9604957220464
Rome-Bologna,303.6377867291772
Rome-London,1434.7768161166782
Rome-Valencia,1118.6790143857463
Rome-Naples,191.6933213040504
Rome-Dublin,1888.6002194397674
Rome-Athens,1053.760630631831
Rome-Barcelona,861.6992184288006
Rome-Gothenburg,1758.92718127328
Rome-Nuremburg,847.798439696044
Rome-Braunschweig,1162.2158028384742
Rome-Hanover,1182.9018650163657
Rome-Antwerp,1205.592634468455
Rome-Brescia,444.17664241453684
Hamburg-Stuttgart,533.8074285196008
Hamburg-Frankfurt,394.74635938585163
Hamburg-Stockholm,815.1943221377064
Hamburg-Brussels,491.2099840884218
Hamburg-Vienna,744.3697873744826
Hamburg-Lisbon,2200.4346976564225
Hamburg-Marseille,1190.4968772530212
Hamburg-Cologne,358.2521971688957
Hamburg-Helsinki,1167.6056201918514
Hamburg-Lyon,941.7652370354924
Hamburg-Düsseldorf,339.5162661722241
Hamburg-Warsaw,753.3793747636751
Hamburg-Rotterdam,414.4794481714808
Hamburg-Prague,493.3692374774275
Hamburg-Lille,573.1567697957425
Hamburg-Turin,958.0251914011686
Hamburg-Utrecht,366.2434061730368
Hamburg-Budapest,930.1427062812348
Hamburg-Toulouse,1269.6283751660696
Hamburg-Bordeaux,1235.1451321831462
Hamburg-Bucharest,1547.9974028030629
Hamburg-Malmö,299.39837612495415
Hamburg-Nantes,1082.5198874609805
Hamburg-The Hague,419.3472480168757
Hamburg-Bremen,95.57053925798962
Hamburg-Bonn,372.9996186976074
Hamburg-Dresden,378.0736758091856
Hamburg-Bologna,1011.3456152704736
Hamburg-London,722.3949268664867
Hamburg-Valencia,1752.292537055113
Hamburg-Naples,1448.3132631273381
Hamburg-Dublin,1078.40396695569
Hamburg-Athens,2025.4518108194495
Hamburg-Barcelona,1473.6455934853993
Hamburg-Gothenburg,479.20607831919017
Hamburg-Nuremburg,461.0939567805685
Hamburg-Braunschweig,147.2276439346807
Hamburg-Hanover,132.28061199095598
Hamburg-Antwerp,460.7821418002683
Hamburg-Brescia,891.0521914350003
Stuttgart-Frankfurt,151.66356004102747
Stuttgart-Stockholm,1310.3870221367467
Stuttgart-Brussels,418.28414541762015
Stuttgart-Vienna,533.2586402876324
Stuttgart-Lisbon,1844.3310238918427
Stuttgart-Marseille,677.9202688651804
Stuttgart-Cologne,288.95732186521445
Stuttgart-Helsinki,1619.1104597880044
Stuttgart-Lyon,470.23364789986476
Stuttgart-Düsseldorf,322.1149049682937
Stuttgart-Warsaw,920.1810802209981
Stuttgart-Rotterdam,484.6678037554027
Stuttgart-Prague,408.38656945519494
Stuttgart-Lille,487.92481166050123
Stuttgart-Turin,428.347598046033
Stuttgart-Utrecht,469.3353239779785
Stuttgart-Budapest,748.4270406206019
Stuttgart-Toulouse,827.8860169974276
Stuttgart-Bordeaux,864.8701126037997
Stuttgart-Bucharest,1378.1295112915568
Stuttgart-Malmö,800.8217102833439
Stuttgart-Nantes,823.2192183784676
Stuttgart-The Hague,507.18475057747895
Stuttgart-Bremen,479.1874284748426
Stuttgart-Bonn,264.4050520763525
Stuttgart-Dresden,412.83787316025297
Stuttgart-Bologna,503.10218508362016
Stuttgart-London,731.3090256313276
